Zeit,Google Shopping,Google Search
2023-03-22 11:00:00,15,47
2023-03-22 12:00:00,0,49
2023-03-22 13:00:00,0,51
2023-03-22 14:00:00,22,51
2023-03-22 15:00:00,65,38
2023-03-22 16:00:00,13,44
2023-03-22 17:00:00,31,42
2023-03-22 18:00:00,0,34
2023-03-22 19:00:00,0,44
2023-03-22 20:00:00,0,45
2023-03-22 21:00:00,0,42
2023-03-22 22:00:00,53,38
2023-03-22 23:00:00,19,31
2023-03-23 00:00:00,71,25
2023-03-23 01:00:00,0,7
2023-03-23 02:00:00,0,3
2023-03-23 03:00:00,0,11
2023-03-23 04:00:00,0,22
2023-03-23 05:00:00,0,52
2023-03-23 06:00:00,0,51
2023-03-23 07:00:00,0,50
2023-03-23 08:00:00,0,65
2023-03-23 09:00:00,0,76
2023-03-23 10:00:00,0,86
2023-03-23 11:00:00,13,87
2023-03-23 12:00:00,30,71
2023-03-23 13:00:00,0,73
2023-03-23 14:00:00,0,67
2023-03-23 15:00:00,0,65
2023-03-23 16:00:00,0,55
2023-03-23 17:00:00,0,34
2023-03-23 18:00:00,0,38
2023-03-23 19:00:00,27,46
2023-03-23 20:00:00,0,48
2023-03-23 21:00:00,0,47
2023-03-23 22:00:00,0,39
2023-03-23 23:00:00,40,31
2023-03-24 00:00:00,0,30
2023-03-24 01:00:00,0,13
2023-03-24 02:00:00,0,16
2023-03-24 03:00:00,0,15
2023-03-24 04:00:00,0,33
2023-03-24 05:00:00,0,42
2023-03-24 06:00:00,0,49
2023-03-24 07:00:00,0,59
2023-03-24 08:00:00,0,56
2023-03-24 09:00:00,36,90
2023-03-24 10:00:00,17,85
2023-03-24 11:00:00,0,77
2023-03-24 12:00:00,0,99
2023-03-24 13:00:00,50,75
2023-03-24 14:00:00,0,78
2023-03-24 15:00:00,0,65
2023-03-24 16:00:00,0,54
2023-03-24 17:00:00,24,42
2023-03-24 18:00:00,0,49
2023-03-24 19:00:00,0,53
2023-03-24 20:00:00,15,45
2023-03-24 21:00:00,0,54
2023-03-24 22:00:00,0,40
2023-03-24 23:00:00,0,41
2023-03-25 00:00:00,0,26
2023-03-25 01:00:00,0,21
2023-03-25 02:00:00,0,6
2023-03-25 03:00:00,0,15
2023-03-25 04:00:00,0,38
2023-03-25 05:00:00,47,59
2023-03-25 06:00:00,0,44
2023-03-25 07:00:00,0,65
2023-03-25 08:00:00,0,71
2023-03-25 09:00:00,32,77
2023-03-25 10:00:00,26,79
2023-03-25 11:00:00,10,91
2023-03-25 12:00:00,0,71
2023-03-25 13:00:00,14,68
2023-03-25 14:00:00,12,67
2023-03-25 15:00:00,0,58
2023-03-25 16:00:00,16,58
2023-03-25 17:00:00,0,41
2023-03-25 18:00:00,0,47
2023-03-25 19:00:00,0,58
2023-03-25 20:00:00,22,49
2023-03-25 21:00:00,0,54
2023-03-25 22:00:00,0,43
2023-03-25 23:00:00,0,33
2023-03-26 00:00:00,0,27
2023-03-26 01:00:00,45,22
2023-03-26 02:00:00,0,25
2023-03-26 03:00:00,0,15
2023-03-26 04:00:00,0,49
2023-03-26 05:00:00,0,72
2023-03-26 06:00:00,0,71
2023-03-26 07:00:00,31,62
2023-03-26 08:00:00,0,61
2023-03-26 09:00:00,0,68
2023-03-26 10:00:00,0,77
2023-03-26 11:00:00,24,90
2023-03-26 12:00:00,0,76
2023-03-26 13:00:00,0,77
2023-03-26 14:00:00,13,67
2023-03-26 15:00:00,0,58
2023-03-26 16:00:00,0,61
2023-03-26 17:00:00,0,64
2023-03-26 18:00:00,0,50
2023-03-26 19:00:00,0,54
2023-03-26 20:00:00,17,49
2023-03-26 21:00:00,16,58
2023-03-26 22:00:00,24,50
2023-03-26 23:00:00,0,41
2023-03-27 00:00:00,0,42
2023-03-27 01:00:00,0,27
2023-03-27 02:00:00,70,25
2023-03-27 03:00:00,0,18
2023-03-27 04:00:00,0,34
2023-03-27 05:00:00,0,42
2023-03-27 06:00:00,0,49
2023-03-27 07:00:00,44,52
2023-03-27 08:00:00,0,69
2023-03-27 09:00:00,0,82
2023-03-27 10:00:00,0,80
2023-03-27 11:00:00,0,92
2023-03-27 12:00:00,35,87
2023-03-27 13:00:00,45,92
2023-03-27 14:00:00,0,89
2023-03-27 15:00:00,0,85
2023-03-27 16:00:00,26,73
2023-03-27 17:00:00,0,63
2023-03-27 18:00:00,27,63
2023-03-27 19:00:00,0,63
2023-03-27 20:00:00,22,56
2023-03-27 21:00:00,0,47
2023-03-27 22:00:00,13,48
2023-03-27 23:00:00,0,40
2023-03-28 00:00:00,0,33
2023-03-28 01:00:00,0,28
2023-03-28 02:00:00,0,27
2023-03-28 03:00:00,100,23
2023-03-28 04:00:00,27,48
2023-03-28 05:00:00,66,54
2023-03-28 06:00:00,0,57
2023-03-28 07:00:00,0,65
2023-03-28 08:00:00,20,66
2023-03-28 09:00:00,11,95
2023-03-28 10:00:00,0,100
2023-03-28 11:00:00,21,97
2023-03-28 12:00:00,0,84
2023-03-28 13:00:00,23,89
2023-03-28 14:00:00,0,82
2023-03-28 15:00:00,26,79
2023-03-28 16:00:00,40,66
2023-03-28 17:00:00,0,58
2023-03-28 18:00:00,0,49
2023-03-28 19:00:00,0,61
2023-03-28 20:00:00,0,52
2023-03-28 21:00:00,0,50
2023-03-28 22:00:00,0,49
2023-03-28 23:00:00,33,34
2023-03-29 00:00:00,0,21
2023-03-29 01:00:00,0,22
2023-03-29 02:00:00,0,15
2023-03-29 03:00:00,0,24
2023-03-29 04:00:00,34,45
2023-03-29 05:00:00,0,64
2023-03-29 06:00:00,0,65
2023-03-29 07:00:00,20,47
2023-03-29 08:00:00,0,60
2023-03-29 09:00:00,0,75
2023-03-29 10:00:00,0,76
